Reused Comment,Reused Comment Author (Role),Reused Code Author,Reused Chunk Name (Assignment),Reused Code Link,Reused Date,Parent Comment,Parent Comment Author (Role),Parent Code Author,Parent Chunk Name (Assignment),Parent Code Link,Parent Date
"above each test, you should write what it tests. You should test Slow Requests (the ones with asterisk).",alencar (S),ayueh,JottoModelTest (ps4),https://10.18.6.30/chunks/view/87433#comment-186671,2014-11-25 23:49:00,"above each test, you should write what it tests. You should test Slow Requests (the ones with asterisk). Describe better your testing strategy.",alencar (S),akshayp,JottoModelTest (ps4),https://10.18.6.30/chunks/view/87236#comment-186669,2014-11-25 23:45:00
Good example for testing the '@' symbol and its behavior.,admora (S),ajliu,GuessModelTest (ps4),https://10.18.6.30/chunks/view/87421#comment-188138,2014-11-26 19:43:18,Good example for testing the '@' symbol and its behavior.,admora (S),jesslli,MySocialNetworkTest (ps1),https://10.18.6.30/chunks/view/76103#comment-154802,2014-09-25 19:07:19
Why is this class necessary? It seems like you could do this behavior in makeGuess without loss of abstraction or functionality. ,abrahamq (S),salazard,JottoResult (ps4),https://10.18.6.30/chunks/view/87527#comment-187919,2014-11-26 16:45:56,"It doesn't have a modifier, which means that it is package specific (Only this class and other classes in this package can see it.); however, I am only using it inside of this class as an accessor method, so this is okay. ",abrahamq (S),abrahamq,Container (ps2),https://10.18.6.30/chunks/view/80334#comment-170987,2014-10-13 14:56:35
 You should test Slow Requests (the ones with asterisk). where's erro1Message ?,alencar (S),dve,JottoModelTest (ps4),https://10.18.6.30/chunks/view/87436#comment-186670,2014-11-25 23:48:04,"above each test, you should write what it tests. You should test Slow Requests (the ones with asterisk). Describe better your testing strategy.",alencar (S),akshayp,JottoModelTest (ps4),https://10.18.6.30/chunks/view/87236#comment-186669,2014-11-25 23:45:00
You are using the correct convention for constants.,tcwong (S),micsun,GuessSwingWorker (ps4),https://10.18.6.30/chunks/view/87513#comment-187573,2014-11-26 11:23:11,What is it that you were trying to do in problem 4. Explain using comments ,tcwong (S),dvargas,SocialNetwork (ps1),https://10.18.6.30/chunks/view/74921#comment-153127,2014-09-24 21:29:50
"This should be at the top of your JottoModel class, as detailed in the pset instructions.",alecand (S),tillyt,JottoGUI (ps4),https://10.18.6.30/chunks/view/87457#comment-187603,2014-11-26 11:44:38,"This should be at the top of your JottoModel class, as detailed in the pset instructions.",alecand (S),denisli,JottoGUI (ps4),https://10.18.6.30/chunks/view/87606#comment-187587,2014-11-26 11:35:37
"Not sure if you do this elsewhere, but the pset asked that you also print out the server response (see Problem 3)",ajliu (S),ktekiela,JottoModel (ps4),https://10.18.6.30/chunks/view/87018#comment-186557,2014-11-25 17:11:26,"Not sure if you do this elsewhere, but the pset questions asked that you also print out the server response (see Problem 3)",ajliu (S),gbeams,JottoModel (ps4),https://10.18.6.30/chunks/view/87154#comment-186556,2014-11-25 17:08:31
Nice use of comments to make this code more ETU!,ksilva (S),tlliu,JottoModel (ps4),https://10.18.6.30/chunks/view/87587#comment-187869,2014-11-26 16:28:07,Nice use of comments to make this code more ETU!,ksilva (S),esyoung,MinesweeperServer (ps3),https://10.18.6.30/chunks/view/84774#comment-182939,2014-10-31 21:22:07
Great job with outlining testing strategies,dangpham (S),sfine,JottoDataTableTest (ps4),https://10.18.6.30/chunks/view/87565#comment-187768,2014-11-26 15:21:34,Great job with outlining testing strategies,dangpham (S),abobu,AppendTest (ps2),https://10.18.6.30/chunks/view/79807#comment-160578,2014-10-08 17:14:29
"There needs to be a thread safety argument ""near the top of your JottoModel.java source file."" Extra detail specific to this class in an additional thread safety argument won't hurt.",lakras (T),ktekiela,JottoGUI (ps4),https://10.18.6.30/chunks/view/87020#comment-188078,2014-11-26 19:01:07,"Thread safety argument should be ""near the top of your JottoModel.java source file"" (of course extra detail specific to this class won't hurt).",lakras (T),wgwong,JottoGUI (ps4),https://10.18.6.30/chunks/view/87126#comment-188075,2014-11-26 18:57:23
