Reused Comment,Reused Comment Author (Role),Reused Code Author,Reused Chunk Name (Assignment),Reused Code Link,Reused Date,Parent Comment,Parent Comment Author (Role),Parent Code Author,Parent Chunk Name (Assignment),Parent Code Link,Parent Date
Use Ctrl + Shift + O to optimize your imports and remove unused ones - that's a really handy shortcut to have if you don't already know it.,vtjeng (S),niquo,TurtleSoup (ps0),https://10.18.6.30/chunks/view/91112#comment-203280,2015-02-11 10:05:41,Use Ctrl + Shift + O to optimize your imports and remove unused ones - that's a really handy shortcut to have if you don't already know it.,vtjeng (S),elin1,TurtleSoup (ps0),https://10.18.6.30/chunks/view/91454#comment-203259,2015-02-11 09:48:20
"You don't need to import from java.lang, as it's already implicitly imported",kimberli (S),priyav,TurtleSoup (ps0),https://10.18.6.30/chunks/view/90815#comment-205931,2015-02-12 20:04:42,"You don't need to import from java.lang, as it's already implicitly imported",kimberli (S),phager,TurtleSoup (ps0),https://10.18.6.30/chunks/view/90837#comment-205918,2015-02-12 19:57:22
"In eclipse, you can use Ctrl-Shift-O to remove unused imports.",elin1 (S),tonycao,MySocialNetworkTest (ps1),https://10.18.6.30/chunks/view/95871#comment-208162,2015-02-28 11:12:57,"In eclipse, you can use Ctrl-Shift-O to remove unused imports.",elin1 (S),jsgordon,MySocialNetworkTest (ps1),https://10.18.6.30/chunks/view/95456#comment-208153,2015-02-28 11:03:28
"Yes, I think MATH package is automatically included.",acm (S),garronc,TurtleSoup (ps0),https://10.18.6.30/chunks/view/90194#comment-205789,2015-02-12 18:19:16,"Yes, I think MATH package is automatically included.",acm (S),epayne,TurtleSoup (ps0),https://10.18.6.30/chunks/view/91586#comment-205785,2015-02-12 18:17:37
"You should give a specification here; it probably could be as simple as ""Implementation of the Photo interface."" Look at ArrayList (https://docs.oracle.com/javase/8/docs/api/java/util/ArrayList.html) for an example of a class (ArrayList) implementing an interface (List).",vtjeng (S),ganand,ConcretePhoto (ps2),https://10.18.6.30/chunks/view/106130#comment-229475,2015-03-22 21:48:09,"You should give a specification here; it probably could be as simple as ""Implementation of the Photo interface."" Look at ArrayList (https://docs.oracle.com/javase/8/docs/api/java/util/ArrayList.html) for an example of a class (ArrayList) implementing an interface (List).",vtjeng (S),leungs,ConcretePhoto (ps2),https://10.18.6.30/chunks/view/107416#comment-229430,2015-03-22 21:38:03
Nice job outlining all the partitions,castanom (S),chul,BoardTest (ps3),https://10.18.6.30/chunks/view/114097#comment-241455,2015-04-12 14:38:31,Nice job outlining all the partitions,castanom (S),seansoni,BoardTest (ps3),https://10.18.6.30/chunks/view/113744#comment-241453,2015-04-12 14:37:26
Where's your hashWhere's your hashCode and equals functions?,sahasag (S),varot,ConcretePage (ps2),https://10.18.6.30/chunks/view/101409#comment-218820,2015-03-21 23:50:51,Where's your hashCode and equals functions?,sahasag (S),pgentili,ConcretePage (ps2),https://10.18.6.30/chunks/view/102674#comment-218815,2015-03-21 23:44:14
Make sure to go back and write this,csiu22 (S),eshirley,ConcretePage (ps2),https://10.18.6.30/chunks/view/107181#comment-228879,2015-03-22 18:46:30,Make sure to go back and write this,csiu22 (S),mmahmood,ConcretePage (ps2),https://10.18.6.30/chunks/view/107962#comment-228795,2015-03-22 18:22:04
"After you write the rep invariant, there are two sides to making sure that it is preserved. The checkRep method is your way of making sure that YOUR code does not invalidate the rep invariant: you should call it at the end of every method that might change the value of a field to make sure that the field's new value is still valid. Clients, on the other hand, cannot see your rep invariant, and maintaining it is not their responsibility. To prevent clients from invalidating the rep invariant, our only option is to prevent them from ever having the power to change the fields except in ways that we expect, through this class's methods, where we have the power to control what happens to the fields and verify that their values are always valid. This is where the safety from rep exposure argument comes in: you must convince yourself, us, and any future maintainer of this code that no client ever gets the power to modify the fields where we cannot verify their values. Some examples of how this might happen are if a client passes in a mutable object and you save a reference to it to a field (the client can still access it and modify its value), one of your methods returns a mutable object that is saved as a field (that client can now modify your field directly). Please feel free to come by office hours with any questions you may have!",lakras (T),jmathus,Board (ps3),https://10.18.6.30/chunks/view/114347#comment-242810,2015-04-12 22:30:24,"After you write the rep invariant, there are two sides to making sure that it is preserved. The checkRep method is your way of making sure that YOUR code does not invalidate the rep invariant: you should call it at the end of every method that might change the value of a field to make sure that the field's new value is still valid. Clients, on the other hand, cannot see your rep invariant, and maintaining it is not their responsibility. To prevent clients from invalidating the rep invariant, our only option is to prevent them from ever having the power to change the fields except in ways that we expect, through this class's methods, where we have the power to control what happens to the fields and verify that their values are always valid. This is where the safety from rep exposure argument comes in: you must convince yourself, us, and any future maintainer of this code that no client ever gets the power to modify the fields where we cannot verify their values. Some examples of how this might happen are if a client passes in a mutable object and you save a reference to it to a field (the client can still access it and modify its value), one of your methods returns a mutable object that is saved as a field (that client can now modify your field directly). Please feel free to come by office hours with any questions you may have!",lakras (T),smohan94,ConcreteStyle (ps2),https://10.18.6.30/chunks/view/107040#comment-229254,2015-03-22 21:04:29
"As you work on them, I recommend that you think of the abstraction function, rep invariant, and rep exposure argument as a newcomer's guide to your code. They aren't for clients to see--they're for somebody (maybe you) who has been tasked with editing or writing the code for this class. Take a look at https://lms.mitx.mit.edu/courses/MIT/6.005r/2015_Spring/courseware/b29ad91b5d674bbab1107ed6367a955b/a74565a0b64e422497f5733442fdc969/4 and http://web.mit.edu/6.005/www/sp15/classes/13-abstraction-functions-rep-invariants/#rep_invariant_and_abstraction_function for a few examples of abstraction functions (and rep invariants). For all three of these, I recommend working from the perspective of your fields.",lakras (T),jmathus,Board (ps3),https://10.18.6.30/chunks/view/114347#comment-242811,2015-04-12 22:31:17,"As you work on them, I recommend that you think of the abstraction function, rep invariant, and rep exposure argument as a newcomer's guide to your code. They aren't for clients to see--they're for somebody (maybe you) who has been tasked with editing or writing the code for this class. Take a look at https://lms.mitx.mit.edu/courses/MIT/6.005r/2015_Spring/courseware/b29ad91b5d674bbab1107ed6367a955b/a74565a0b64e422497f5733442fdc969/4 and http://web.mit.edu/6.005/www/sp15/classes/13-abstraction-functions-rep-invariants/#rep_invariant_and_abstraction_function for a few examples of abstraction functions (and rep invariants). For all three of these, I recommend working from the perspective of your fields.",lakras (T),smohan94,ConcreteStyle (ps2),https://10.18.6.30/chunks/view/107040#comment-229245,2015-03-22 21:03:39
