Reused Comment,Reused Comment Author (Role),Reused Code Author,Reused Chunk Name (Assignment),Reused Code Link,Reused Date,Parent Comment,Parent Comment Author (Role),Parent Code Author,Parent Chunk Name (Assignment),Parent Code Link,Parent Date
Use Ctrl + Shift + O to optimize your imports and remove unused ones - that's a really handy shortcut to have if you don't already know it.,vtjeng (S),niquo,TurtleSoup (ps0),https://10.18.6.30/chunks/view/91112#comment-203280,2015-02-11 10:05:41,Use Ctrl + Shift + O to optimize your imports and remove unused ones - that's a really handy shortcut to have if you don't already know it.,vtjeng (S),elin1,TurtleSoup (ps0),https://10.18.6.30/chunks/view/91454#comment-203259,2015-02-11 09:48:20
"You don't need to import from java.lang, as it's already implicitly imported",kimberli (S),priyav,TurtleSoup (ps0),https://10.18.6.30/chunks/view/90815#comment-205931,2015-02-12 20:04:42,"You don't need to import from java.lang, as it's already implicitly imported",kimberli (S),phager,TurtleSoup (ps0),https://10.18.6.30/chunks/view/90837#comment-205918,2015-02-12 19:57:22
"In eclipse, you can use Ctrl-Shift-O to remove unused imports.",elin1 (S),tonycao,MySocialNetworkTest (ps1),https://10.18.6.30/chunks/view/95871#comment-208162,2015-02-28 11:12:57,"In eclipse, you can use Ctrl-Shift-O to remove unused imports.",elin1 (S),jsgordon,MySocialNetworkTest (ps1),https://10.18.6.30/chunks/view/95456#comment-208153,2015-02-28 11:03:28
"Yes, I think MATH package is automatically included.",acm (S),garronc,TurtleSoup (ps0),https://10.18.6.30/chunks/view/90194#comment-205789,2015-02-12 18:19:16,"Yes, I think MATH package is automatically included.",acm (S),epayne,TurtleSoup (ps0),https://10.18.6.30/chunks/view/91586#comment-205785,2015-02-12 18:17:37
add parameters above your test cases so you can more easily make sure your tests are written correctly?,tricias (S),gesayas,RulesOf6005Test (ps0),https://10.18.6.30/chunks/view/89701#comment-204128,2015-02-11 17:48:33,add parameters above your test cases so you can more easily make sure your tests are written correctly?,tricias (S),fcicileo,RulesOf6005Test (ps0),https://10.18.6.30/chunks/view/90397#comment-204105,2015-02-11 17:38:04
add parameters above your test cases so you can more easily make sure your tests are written correctly?,tricias (S),mmgong,RulesOf6005Test (ps0),https://10.18.6.30/chunks/view/89844#comment-204137,2015-02-11 17:51:56,add parameters above your test cases so you can more easily make sure your tests are written correctly?,tricias (S),fcicileo,RulesOf6005Test (ps0),https://10.18.6.30/chunks/view/90397#comment-204105,2015-02-11 17:38:04
Nice job on covering all parts of your current partitions. It looks pretty thorough.,aluh (S),nicolekg,MySocialNetworkTest (ps1),https://10.18.6.30/chunks/view/97331#comment-212887,2015-03-02 20:16:53,Nice job on covering all parts of your current partitions.,aluh (S),delerme,ExtractTest (ps1),https://10.18.6.30/chunks/view/98027#comment-212733,2015-03-02 18:45:11
I would probably put these directly above the tests they correspond with. Makes it easier for anyone reading your code,dumesnil (S),jefflu,FilterTest (ps1),https://10.18.6.30/chunks/view/95091#comment-208924,2015-02-28 20:12:33,I would probably put these directly above the tests they correspond with.,dumesnil (S),haoshen,FilterTest (ps1),https://10.18.6.30/chunks/view/94981#comment-208920,2015-02-28 20:05:48
Good description of partitions.,dpchen (S),tfh,FilterTest (ps1),https://10.18.6.30/chunks/view/95727#comment-210823,2015-03-01 19:07:23,Good description of partitions.,dpchen (S),sarastik,ExtractTest (ps1),https://10.18.6.30/chunks/view/96833#comment-210816,2015-03-01 19:01:27
Reuse code and call another function you wrote which does the same thing.,brishima (S),stewarta,TurtleSoup (ps0),https://10.18.6.30/chunks/view/89930#comment-203538,2015-02-11 13:29:25,Reuse code and call another function you wrote which does the same thing.,brishima (S),deldar,TurtleSoup (ps0),https://10.18.6.30/chunks/view/90339#comment-203411,2015-02-11 11:40:26
